Servers	Dispatcher	AvgWait
30	least	168746.055050
30	slowdown	154985.560015
30	short	168769.470933
31	least	115076.614997
31	slowdown	105691.839412
31	short	115098.678281
32	least	64763.685882
32	slowdown	59495.364782
32	short	64811.525215
33	least	17721.976906
33	slowdown	16306.740187
33	short	17767.324531
34	least	246.995401
34	slowdown	237.958927
34	short	277.748717
35	least	144.951718
35	slowdown	142.603762
35	short	167.779107
36	least	121.045226
36	slowdown	120.132653
36	short	138.443319
37	least	111.774771
37	slowdown	111.341819
37	short	124.851086
38	least	107.141153
38	slowdown	106.912586
38	short	116.856405
39	least	104.455516
39	slowdown	104.330199
39	short	111.710912
40	least	102.816554
40	slowdown	102.749792
40	short	108.260722
41	least	101.784953
41	slowdown	101.746415
41	short	105.777588
