numFixed,strategy,trialCount,successes,failures,timeouts,avgSolveMs(success),success_rate
0,row-major,50,50,0,0,1.716,1.000
0,mrv,50,50,0,0,3.866,1.000
0,mrv+degree,50,50,0,0,5.907,1.000
0,random,50,0,0,50,0.000,0.000
1,row-major,50,50,0,0,0.434,1.000
1,mrv,50,50,0,0,1.105,1.000
1,mrv+degree,50,50,0,0,1.430,1.000
1,random,50,0,0,50,0.000,0.000
2,row-major,50,50,0,0,0.043,1.000
2,mrv,50,50,0,0,0.367,1.000
2,mrv+degree,50,50,0,0,0.546,1.000
2,random,50,0,0,50,0.000,0.000
3,row-major,50,50,0,0,0.039,1.000
3,mrv,50,50,0,0,0.350,1.000
3,mrv+degree,50,50,0,0,0.532,1.000
3,random,50,0,0,50,0.000,0.000
4,row-major,50,50,0,0,0.048,1.000
4,mrv,50,50,0,0,0.405,1.000
4,mrv+degree,50,50,0,0,0.638,1.000
4,random,50,0,0,50,0.000,0.000
5,row-major,50,48,0,2,0.099,0.960
5,mrv,50,50,0,0,0.865,1.000
5,mrv+degree,50,50,0,0,1.143,1.000
5,random,50,0,0,50,0.000,0.000
6,row-major,50,50,0,0,0.259,1.000
6,mrv,50,50,0,0,0.493,1.000
6,mrv+degree,50,50,0,0,0.847,1.000
6,random,50,0,0,50,0.000,0.000
7,row-major,50,50,0,0,0.194,1.000
7,mrv,50,50,0,0,0.323,1.000
7,mrv+degree,50,50,0,0,0.831,1.000
7,random,50,0,0,50,0.000,0.000
8,row-major,50,50,0,0,0.538,1.000
8,mrv,50,50,0,0,0.680,1.000
8,mrv+degree,50,50,0,0,1.251,1.000
8,random,50,0,0,50,0.000,0.000
9,row-major,50,50,0,0,0.220,1.000
9,mrv,50,50,0,0,0.279,1.000
9,mrv+degree,50,50,0,0,0.823,1.000
9,random,50,0,0,50,0.000,0.000
10,row-major,50,46,0,4,0.625,0.920
10,mrv,50,50,0,0,1.553,1.000
10,mrv+degree,50,50,0,0,0.500,1.000
10,random,50,0,0,50,0.000,0.000
11,row-major,50,49,0,1,0.229,0.980
11,mrv,50,49,0,1,0.287,0.980
11,mrv+degree,50,50,0,0,0.418,1.000
11,random,50,0,0,50,0.000,0.000
12,row-major,50,48,0,2,0.411,0.960
12,mrv,50,50,0,0,2.501,1.000
12,mrv+degree,50,50,0,0,0.435,1.000
12,random,50,0,0,50,0.000,0.000
13,row-major,50,46,1,3,0.355,0.920
13,mrv,50,50,0,0,0.411,1.000
13,mrv+degree,50,48,0,2,1.240,0.960
13,random,50,0,0,50,0.000,0.000
14,row-major,50,45,1,4,0.743,0.900
14,mrv,50,50,0,0,0.267,1.000
14,mrv+degree,50,48,2,0,0.437,0.960
14,random,50,0,0,50,0.000,0.000
15,row-major,50,42,0,8,0.171,0.840
15,mrv,50,48,0,2,1.268,0.960
15,mrv+degree,50,46,2,2,0.462,0.920
15,random,50,0,0,50,0.000,0.000
16,row-major,50,41,1,8,0.169,0.820
16,mrv,50,45,5,0,0.287,0.900
16,mrv+degree,50,43,4,3,0.670,0.860
16,random,50,0,0,50,0.000,0.000
17,row-major,50,38,1,11,1.171,0.760
17,mrv,50,43,6,1,0.837,0.860
17,mrv+degree,50,40,8,2,9.878,0.800
17,random,50,0,0,50,0.000,0.000
18,row-major,50,36,2,12,1.030,0.720
18,mrv,50,40,8,2,0.311,0.800
18,mrv+degree,50,34,15,1,1.525,0.680
18,random,50,0,0,50,0.000,0.000
19,row-major,50,39,4,7,1.293,0.780
19,mrv,50,41,8,1,0.775,0.820
19,mrv+degree,50,41,9,0,14.104,0.820
19,random,50,0,0,50,0.000,0.000
20,row-major,50,34,3,13,1.721,0.680
20,mrv,50,37,13,0,1.876,0.740
20,mrv+degree,50,38,12,0,4.055,0.760
20,random,50,0,0,50,0.000,0.000
21,row-major,50,26,7,17,1.172,0.520
21,mrv,50,31,19,0,1.391,0.620
21,mrv+degree,50,35,15,0,0.606,0.700
21,random,50,0,0,50,0.000,0.000
22,row-major,50,25,4,21,1.616,0.500
22,mrv,50,34,16,0,0.411,0.680
22,mrv+degree,50,29,21,0,0.685,0.580
22,random,50,0,0,50,0.000,0.000
23,row-major,50,25,12,13,2.463,0.500
23,mrv,50,23,27,0,0.573,0.460
23,mrv+degree,50,27,23,0,0.666,0.540
23,random,50,0,0,50,0.000,0.000
24,row-major,50,17,27,6,1.712,0.340
24,mrv,50,24,26,0,0.286,0.480
