numFixed,trialCount,successes,failures,timeouts,avgSolveMs(success),success_rate
0,50,50,0,0,0.830,1.000
1,50,50,0,0,0.631,1.000
2,50,50,0,0,0.455,1.000
3,50,50,0,0,0.359,1.000
4,50,50,0,0,0.355,1.000
5,50,50,0,0,0.345,1.000
6,50,50,0,0,0.326,1.000
7,50,50,0,0,0.320,1.000
8,50,50,0,0,0.301,1.000
9,50,50,0,0,0.295,1.000
10,50,50,0,0,0.305,1.000
11,50,50,0,0,0.261,1.000
12,50,49,0,1,0.264,0.980
13,50,48,1,1,0.254,0.960
14,50,49,1,0,0.274,0.980
15,50,49,1,0,0.344,0.980
16,50,47,2,1,0.811,0.940
17,50,43,6,1,1.425,0.860
18,50,48,1,1,0.524,0.960
19,50,42,6,2,3.171,0.840
20,50,34,16,0,0.317,0.680
21,50,30,20,0,0.432,0.600
22,50,29,21,0,0.206,0.580
23,50,26,24,0,0.176,0.520
24,50,21,29,0,0.167,0.420
25,50,15,35,0,0.206,0.300
26,50,13,37,0,0.661,0.260
27,50,5,45,0,0.149,0.100
28,50,6,44,0,0.154,0.120
29,50,2,48,0,0.138,0.040
30,50,1,49,0,0.088,0.020
31,50,0,50,0,0.000,0.000
32,50,1,49,0,0.089,0.020
33,50,0,50,0,0.000,0.000
34,50,0,50,0,0.000,0.000
35,50,0,50,0,0.000,0.000
36,50,0,50,0,0.000,0.000
37,50,0,50,0,0.000,0.000
38,50,0,50,0,0.000,0.000
39,50,0,50,0,0.000,0.000
40,50,0,50,0,0.000,0.000
