density,algo,reached_prob,avg_path_len,avg_explored_cells,avg_walking_steps
0.00,DFS,1.0000,153.0000,309.0000,151.0000
0.00,BFS,1.0000,35.0000,396.0000,1393.0000
0.00,AStar,1.0000,35.0000,297.0000,1115.0000
0.10,DFS,1.0000,101.3800,248.1800,146.8000
0.10,BFS,1.0000,35.0200,355.0600,1517.3200
0.10,AStar,1.0000,35.0200,215.2600,763.2600
0.20,DFS,0.9500,77.8211,196.6600,159.2800
0.20,BFS,0.9500,35.2737,303.2500,1549.9200
0.20,AStar,0.9500,35.2737,172.0700,739.1800
0.30,DFS,0.6800,60.4118,156.3400,185.6700
0.30,BFS,0.6800,36.1176,218.7400,1381.0400
0.30,AStar,0.6800,36.1176,141.1000,941.1400
0.40,DFS,0.1800,47.3333,79.3400,121.3200
0.40,BFS,0.1800,39.4444,86.8700,549.4000
0.40,AStar,0.1800,39.4444,76.9800,578.2000
0.50,DFS,0.0000,0.0000,21.0500,33.8500
0.50,BFS,0.0000,0.0000,21.0500,81.7500
0.50,AStar,0.0000,0.0000,21.0500,90.9900
0.60,DFS,0.0000,0.0000,5.7000,7.1900
0.60,BFS,0.0000,0.0000,5.7000,9.0400
0.60,AStar,0.0000,0.0000,5.7000,10.4400
0.70,DFS,0.0000,0.0000,4.3200,4.9500
0.70,BFS,0.0000,0.0000,4.3200,6.4300
0.70,AStar,0.0000,0.0000,4.3200,7.0000
0.80,DFS,0.0000,0.0000,2.2000,1.5600
0.80,BFS,0.0000,0.0000,2.2000,1.7200
0.80,AStar,0.0000,0.0000,2.2000,1.6700
0.90,DFS,0.0000,0.0000,1.5500,0.6200
0.90,BFS,0.0000,0.0000,1.5500,0.6300
0.90,AStar,0.0000,0.0000,1.5500,0.6500
1.00,DFS,0.0000,0.0000,1.0000,0.0000
1.00,BFS,0.0000,0.0000,1.0000,0.0000
1.00,AStar,0.0000,0.0000,1.0000,0.0000
