density,algo,reached_prob,avg_path_len,avg_explored_cells
0.00,DFS,1.0000,153.0000,309.0000
0.00,BFS,1.0000,35.0000,396.0000
0.00,AStar,1.0000,35.0000,297.0000
0.10,DFS,1.0000,104.0200,252.0000
0.10,BFS,1.0000,35.1400,356.5200
0.10,AStar,1.0000,35.1400,216.5100
0.20,DFS,0.9100,77.6813,197.7600
0.20,BFS,0.9100,35.2857,298.4200
0.20,AStar,0.9100,35.2857,171.6200
0.30,DFS,0.7200,59.5556,144.4500
0.30,BFS,0.7200,36.1944,205.2400
0.30,AStar,0.7200,36.1944,127.9000
0.40,DFS,0.1600,49.5000,63.7700
0.40,BFS,0.1600,38.7500,72.8000
0.40,AStar,0.1600,38.7500,63.3600
0.50,DFS,0.0200,41.0000,21.7000
0.50,BFS,0.0200,39.0000,21.9600
0.50,AStar,0.0200,39.0000,21.3100
0.60,DFS,0.0000,0.0000,6.2700
0.60,BFS,0.0000,0.0000,6.2700
0.60,AStar,0.0000,0.0000,6.2700
0.70,DFS,0.0000,0.0000,3.9800
0.70,BFS,0.0000,0.0000,3.9800
0.70,AStar,0.0000,0.0000,3.9800
0.80,DFS,0.0000,0.0000,2.4100
0.80,BFS,0.0000,0.0000,2.4100
0.80,AStar,0.0000,0.0000,2.4100
0.90,DFS,0.0000,0.0000,1.5300
0.90,BFS,0.0000,0.0000,1.5300
0.90,AStar,0.0000,0.0000,1.5300
1.00,DFS,0.0000,0.0000,1.0000
1.00,BFS,0.0000,0.0000,1.0000
1.00,AStar,0.0000,0.0000,1.0000
