density,algo,reached_prob,avg_path_len,avg_explored_cells
0.00,DFS,1.0000,153.0000,309.0000
0.00,BFS,1.0000,35.0000,396.0000
0.00,AStar,1.0000,35.0000,297.0000
0.10,DFS,1.0000,102.1000,257.6800
0.10,BFS,1.0000,35.0800,356.4600
0.10,AStar,1.0000,35.0800,211.0200
0.20,DFS,0.9700,76.0309,203.8400
0.20,BFS,0.9700,35.2062,308.4900
0.20,AStar,0.9700,35.2062,177.0900
0.30,DFS,0.6300,63.1905,154.4100
0.30,BFS,0.6300,36.9365,198.8700
0.30,AStar,0.6300,36.9365,133.5800
0.40,DFS,0.1500,47.0000,71.6300
0.40,BFS,0.1500,39.2667,77.7400
0.40,AStar,0.1500,39.2667,70.4700
0.50,DFS,0.0100,37.0000,17.9300
0.50,BFS,0.0100,37.0000,18.4900
0.50,AStar,0.0100,37.0000,18.1300
0.60,DFS,0.0000,0.0000,6.7000
0.60,BFS,0.0000,0.0000,6.7000
0.60,AStar,0.0000,0.0000,6.7000
0.70,DFS,0.0000,0.0000,3.1800
0.70,BFS,0.0000,0.0000,3.1800
0.70,AStar,0.0000,0.0000,3.1800
0.80,DFS,0.0000,0.0000,2.3600
0.80,BFS,0.0000,0.0000,2.3600
0.80,AStar,0.0000,0.0000,2.3600
0.90,DFS,0.0000,0.0000,1.5300
0.90,BFS,0.0000,0.0000,1.5300
0.90,AStar,0.0000,0.0000,1.5300
1.00,DFS,0.0000,0.0000,1.0000
1.00,BFS,0.0000,0.0000,1.0000
1.00,AStar,0.0000,0.0000,1.0000
